make_model,hp_kw,km,age,gearing_type,gears,price
Audi A1,85.0,34011.0,3.0,Automatic,7.0,15450
Audi A1,66.0,25600.0,3.0,Automatic,7.0,15450
Audi A1,70.0,13776.0,3.0,Automatic,5.0,15444
Audi A1,70.0,34400.0,3.0,Automatic,5.0,15960
Audi A1,70.0,34400.0,3.0,Automatic,5.0,15960
Audi A1,85.0,66844.0,3.0,Automatic,5.0,15930
Audi A1,66.0,58000.0,3.0,Automatic,7.0,15900
Audi A1,85.0,40000.0,3.0,Automatic,7.0,15900
Audi A1,70.0,41500.0,3.0,Automatic,7.0,15900
Audi A1,70.0,43255.0,3.0,Automatic,5.0,15425
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,70.0,42023.0,3.0,Automatic,5.0,15889
Audi A1,70.0,36950.0,3.0,Automatic,5.0,15970
Audi A1,85.0,106829.0,3.0,Automatic,7.0,15889
Audi A1,66.0,49880.0,2.0,Automatic,7.0,15880
Audi A1,70.0,50272.0,3.0,Automatic,7.0,15850
Audi A1,66.0,69900.0,3.0,Automatic,7.0,15850
Audi A1,70.0,19582.0,3.0,Automatic,5.0,15800
Audi A1,70.0,43954.0,3.0,Automatic,5.0,15790
Audi A1,70.0,32910.0,3.0,Automatic,5.0,15840
Audi A1,70.0,23327.0,3.0,Automatic,7.0,15830
Audi A1,70.0,32814.0,3.0,Automatic,5.0,15790
Audi A1,85.0,59702.0,3.0,Automatic,7.0,15789
Audi A1,67.0,65838.0,3.0,Automatic,5.0,15784
Audi A1,70.0,23211.0,3.0,Automatic,5.0,15780
Audi A1,66.0,97930.0,3.0,Manual,5.0,12170
Audi A1,66.0,70000.0,3.0,Manual,5.0,12490
Audi A1,70.0,54392.0,3.0,Manual,5.0,12820
Audi A1,70.0,73000.0,3.0,Manual,5.0,11950
Audi A1,85.0,111380.0,3.0,Manual,5.0,12480
Audi A1,70.0,63350.0,3.0,Manual,5.0,12480
Audi A1,85.0,129550.0,3.0,Manual,5.0,12480
Audi A1,66.0,28978.0,3.0,Manual,5.0,12900
Audi A1,70.0,61220.0,3.0,Manual,5.0,13420
Audi A1,66.0,71000.0,2.0,Manual,5.0,13490
Audi A1,70.0,24999.0,3.0,Manual,5.0,13490
